Monster,Name,Description,Type,Tier,Points,Complete
Aberrant Spectre,Noxious Foe,Kill an Aberrant Spectre.,Kill Count,Easy,1,Y
Abyssal Sire,Abyssal Adept,Kill the Abyssal Sire 20 times.,Kill Count,Hard,3,Y
Abyssal Sire,Don't Whip Me,Kill the Abyssal Sire without being hit by any external tentacles.,Mechanical,Hard,3,Y
Abyssal Sire,They Grow Up Too Fast,Kill the Abyssal Sire without letting any Scion mature.,Mechanical,Hard,3,Y
Abyssal Sire,Don't Stop Moving,Kill the Abyssal Sire without taking damage from any miasma pools.,Perfection,Hard,3,Y
Abyssal Sire,Abyssal Veteran,Kill the Abyssal Sire 50 times.,Kill Count,Elite,4,Y
Abyssal Sire,Perfect Sire,"Kill the Abyssal Sire without taking damage from the external tentacles, miasma pools, explosion or damage from the Abyssal Sire without praying the appropriate protection prayer.",Perfection,Elite,4,Y
Abyssal Sire,Respiratory Runner,Kill the Abyssal Sire after only stunning him once.,Mechanical,Elite,4,Y
Abyssal Sire,Demonic Rebound,Use the Vengeance spell to reflect the damage from the Abyssal Sire's explosion back to him.,Mechanical,Elite,4,Y
Alchemical Hydra,Alchemical Veteran,Kill the Alchemical Hydra 75 times.,Kill Count,Elite,4,Y
Alchemical Hydra,Working Overtime,Kill the Alchemical Hydra 15 times without leaving the room.,Stamina,Master,5,Y
Alchemical Hydra,Mixing Correctly,Kill the Alchemical Hydra without empowering it.,Mechanical,Master,5,Y
Alchemical Hydra,The Flame Skipper,Kill the Alchemical Hydra without letting it spawn a flame wall attack.,Mechanical,Master,5,Y
Alchemical Hydra,Unrequired Antipoisons,Kill the Alchemical Hydra without being hit by the acid pool attack.,Mechanical,Master,5,Y
Alchemical Hydra,Alcleanical Hydra,Kill the Alchemical Hydra without taking any damage.,Perfection,Master,5,Y
Alchemical Hydra,Alchemical Master,Kill the Alchemical Hydra 150 times.,Kill Count,Master,5,Y
Alchemical Hydra,Alchemical Speed-Chaser,Kill the Alchemical Hydra in less than 1 minute 45 seconds.,Speed,Master,5,
Alchemical Hydra,Don't Flame Me,Kill the Alchemical Hydra without being hit by the flame wall attack.,Mechanical,Master,5,Y
Alchemical Hydra,Lightning Lure,Kill the Alchemical Hydra without being hit by the lightning attack.,Mechanical,Master,5,Y
Alchemical Hydra,Alchemical Speed-Runner,Kill the Alchemical Hydra in less than 1 minute 20 seconds.,Speed,Grandmaster,6,
Alchemical Hydra,No Pressure,Kill the Alchemical Hydra using only Dharok's Greataxe as a weapon whilst having no more than 10 Hitpoints throughout the entire fight.,Restriction,Grandmaster,6,
Amoxliatl,Temotli Triumph,Kill Amoxliatl using only glacial temotli as a weapon.,Restriction,Medium,2,Y
Amoxliatl,Amoxliatl Champion,Kill Amoxliatl once.,Kill Count,Medium,2,Y
Amoxliatl,Amoxliatl Speed-Trialist,Kill Amoxliatl in less than 1 minute.,Speed,Hard,3,Y
Amoxliatl,Amoxliatl Adept,Kill Amoxliatl 20 times.,Kill Count,Hard,3,Y
Amoxliatl,Totally Shattered,Kill Amoxliatl without any of her unstable ice shattering.,Mechanical,Hard,3,Y
Amoxliatl,Kemo Makti,Kill Amoxliatl 10 times without leaving her chamber.,Stamina,Hard,3,Y
Amoxliatl,Nagua Negation,Kill Amoxliatl without taking any damage.,Perfection,Hard,3,Y
Amoxliatl,Without Ralos' Light,Kill Amoxliatl without losing any prayer points.,Restriction,Elite,4,Y
Amoxliatl,Amoxliatl Speed-Chaser,Kill Amoxliatl in less than 30 seconds.,Speed,Elite,4,Y
Araxxor,Araxxor Speed-Trialist,Kill Araxxor 4 times in 10:00.,Speed,Elite,4,Y
Araxxor,Relaxxor,Kill Araxxor after destroying six eggs.,Restriction,Elite,4,Y
Araxxor,Araxxor Veteran,Kill Araxxor 25 times.,Kill Count,Elite,4,Y
Araxxor,Araxyte Betrayal,Have an Araxyte kill three other Araxytes.,Mechanical,Master,5,Y
Araxxor,Perfect Araxxor,"Kill Araxxor perfectly, without taking damage from Araxxor's Mage & Range attacks, melee attack off prayer, araxyte minions damage, or damage from acid pools.",Perfection,Master,5,Y
Araxxor,Araxxor Speed-Chaser,Kill Araxxor 5 times in 10:00.,Speed,Master,5,Y
Araxxor,Araxxor Master,Kill Araxxor 75 times.,Kill Count,Master,5,Y
Araxxor,Arachnid Lover,Kill Araxxor 10 times without leaving.,Stamina,Master,5,
Araxxor,Let it seep in,Kill Araxxor without ever having venom or poison immunity.,Restriction,Master,5,Y
Araxxor,Perfect Araxxor 2,"Kill Araxxor perfectly, without hitting it during the enrage phase.",Perfection,Grandmaster,6,
Araxxor,Swimming in Venom,Kill Araxxor without the boss ever moving.,Restriction,Grandmaster,6,Y
Araxxor,Araxxor Speed-Runner,Kill Araxxor 6 times in 10:00.,Speed,Grandmaster,6,
Barrows,Barrows Novice,Open the Barrows chest 10 times.,Kill Count,Easy,1,Y
Barrows,Defence? What Defence?,Kill any Barrows Brother using only magical damage.,Restriction,Easy,1,Y
Barrows,Pray for Success,Kill all six Barrows Brothers and loot the Barrows chest without taking any damage from any of the brothers.,Perfection,Medium,2,Y
Barrows,Barrows Champion,Open the Barrows chest 25 times.,Kill Count,Medium,2,Y
Barrows,Can't Touch Me,"Kill Dharok, Verac, Torag and Guthan without letting them attack you with melee.",Mechanical,Medium,2,Y
Barrows,Faithless Crypt Run,Kill all six Barrows Brothers and loot the Barrows chest without ever having more than 0 prayer points.,Restriction,Hard,3,Y
Barrows,Just Like That,Kill Karil using only damage dealt by special attacks.,Restriction,Hard,3,Y
Basilisk Knight,Reflecting on This Encounter,Kill a Basilisk Knight.,Kill Count,Elite,4,Y
Black Dragon,"Big, Black and Fiery",Kill a Black Dragon.,Kill Count,Easy,1,Y
Bloodveld,The Demonic Punching Bag,Kill a Bloodveld.,Kill Count,Easy,1,Y
Brutal Black Dragon,"Brutal, Big, Black and Firey",Kill a Brutal Black Dragon.,Kill Count,Medium,2,Y
Bryophyta,Protection from Moss,Kill Bryophyta with the Protect from Magic prayer active.,Mechanical,Easy,1,Y
Bryophyta,A Slow Death,Kill Bryophyta with either poison or venom being the final source of damage.,Restriction,Easy,1,Y
Bryophyta,Preparation Is Key,Kill Bryophyta without suffering any poison damage.,Perfection,Easy,1,Y
Bryophyta,Bryophyta Novice,Kill Bryophyta once.,Kill Count,Easy,1,Y
Bryophyta,Fighting as Intended II,Kill Bryophyta on a free to play world.,Restriction,Easy,1,Y
Bryophyta,Quick Cutter,Kill all 3 of Bryophyta's growthlings within 3 seconds of the first one dying.,Mechanical,Medium,2,Y
Bryophyta,Bryophyta Champion,Kill Bryophyta 5 times.,Kill Count,Medium,2,Y
Callisto,Callisto Adept,Kill Callisto 10 times.,Kill Count,Hard,3,Y
Callisto,Callisto Veteran,Kill Callisto 20 times.,Kill Count,Elite,4,Y
Cerberus,Anti-Bite Mechanics,Kill Cerberus without taking any melee damage.,Perfection,Elite,4,Y
Cerberus,Ghost Buster,Kill Cerberus after successfully negating 6 or more attacks from Summoned Souls.,Mechanical,Elite,4,
Cerberus,Cerberus Veteran,Kill Cerberus 75 times.,Kill Count,Elite,4,
Cerberus,Unrequired Antifire,Kill Cerberus without taking damage from any lava pools.,Perfection,Elite,4,Y
Cerberus,Arooo No More,Kill Cerberus without any of the Summoned Souls being spawned.,Mechanical,Master,5,Y
Cerberus,Cerberus Master,Kill Cerberus 150 times.,Kill Count,Master,5,
Chambers of Xeric,Shayzien Specialist,Receive kill-credit for a Lizardman Shaman without taking damage from any shamans in the room.,Perfection,Elite,4,
Chambers of Xeric,Redemption Enthusiast,Kill the Abyssal Portal without forcing Vespula to land.,Mechanical,Elite,4,
Chambers of Xeric,Kill It with Fire,Finish off the Ice Demon with a fire spell.,Restriction,Elite,4,
Chambers of Xeric,Mutta-diet,Kill the Muttadile without letting her or her baby recover hitpoints from the meat tree.,Mechanical,Elite,4,
Chambers of Xeric,Blizzard Dodger,Receive kill-credit for the Ice Demon without activating the Protect from Range prayer.,Restriction,Elite,4,
Chambers of Xeric,Cryo No More,Receive kill-credit for the Ice Demon without taking any damage.,Perfection,Elite,4,
Chambers of Xeric,Perfectly Balanced,Kill the Vanguards without them resetting their health.,Mechanical,Elite,4,
Chambers of Xeric,Dancing with Statues,Receive kill-credit for a Stone Guardian without taking damage from falling rocks.,Perfection,Elite,4,
Chambers of Xeric,Chambers of Xeric Veteran,Complete the Chambers of Xeric 25 times.,Kill Count,Elite,4,
Chambers of Xeric,Undying Raid Team,Complete a Chambers of Xeric raid without anyone dying.,Perfection,Elite,4,
Chambers of Xeric,Together We'll Fall,Kill the Vanguards within 10 seconds of the first one dying.,Mechanical,Elite,4,
Chambers of Xeric,Chambers of Xeric (Trio) Speed-Chaser,Complete a Chambers of Xeric (Trio) in less than 16 minutes and 30 seconds.,Speed,Master,5,
Chambers of Xeric,Chambers of Xeric Master,Complete the Chambers of Xeric 75 times.,Kill Count,Master,5,
Chambers of Xeric,Chambers of Xeric (Solo) Speed-Chaser,Complete a Chambers of Xeric (Solo) in less than 21 minutes.,Speed,Master,5,
Chambers of Xeric,Anvil No More,Kill Tekton before he returns to his anvil for a second time after the fight begins.,Mechanical,Master,5,
Chambers of Xeric,A Not So Special Lizard,"Kill the Great Olm in a solo raid without letting him use any of the following special attacks in his second to last phase: Crystal Burst, Lightning Walls, Teleportation Portals or left-hand autohealing.",Mechanical,Master,5,
Chambers of Xeric,Chambers of Xeric (5-Scale) Speed-Chaser,Complete a Chambers of Xeric (5-scale) in less than 15 minutes.,Speed,Master,5,
Chambers of Xeric,Blind Spot,Kill Tekton without taking any damage.,Perfection,Master,5,
Chambers of Xeric,Playing with Lasers,Clear the Crystal Crabs room without wasting an orb after the first crystal has been activated.,Perfection,Master,5,
Chambers of Xeric,Undying Raider,Complete a Chambers of Xeric solo raid without dying.,Perfection,Master,5,
Chambers of Xeric,Perfect Olm (Solo),"Kill the Great Olm in a solo raid without taking damage from any of the following: Teleport portals, Fire Walls, Healing pools, Crystal Bombs, Crystal Burst or Prayer Orbs. You also cannot let his claws regenerate or take damage from the same acid pool back to back.",Perfection,Master,5,
Chambers of Xeric,Perfect Olm (Trio),"Kill the Great Olm in a trio raid without any team member taking damage from any of the following: Teleport portals, Fire Walls, Healing pools, Crystal Bombs, Crystal Burst or Prayer Orbs. You also cannot let his claws regenerate or take damage from the same acid pool back to back.",Perfection,Master,5,
Chambers of Xeric,Stop Drop and Roll,Kill Vasa Nistirio before he performs his teleport attack for the second time.,Mechanical,Master,5,
Chambers of Xeric,Putting It Olm on the Line,"Complete a Chambers of Xeric solo raid with more than 40,000 points.",Mechanical,Master,5,
Chambers of Xeric,No Time for Death,Clear the Tightrope room without Killing any Deathly Mages or Deathly Rangers.,Mechanical,Master,5,
Chambers of Xeric,Chambers of Xeric (5-Scale) Speed-Runner,Complete a Chambers of Xeric (5-scale) in less than 12 minutes and 30 seconds.,Speed,Grandmaster,6,
Chambers of Xeric,Chambers of Xeric (Solo) Speed-Runner,Complete a Chambers of Xeric (Solo) in less than 17 minutes.,Speed,Grandmaster,6,
Chambers of Xeric,Chambers of Xeric (Trio) Speed-Runner,Complete a Chambers of Xeric (Trio) in less than 14 minutes and 30 seconds.,Speed,Grandmaster,6,
Chambers of Xeric,Chambers of Xeric Grandmaster,Complete the Chambers of Xeric 150 times.,Kill Count,Grandmaster,6,
Chambers of Xeric: Challenge Mode,Dust Seeker,Complete a Chambers of Xeric Challenge mode raid in the target time.,Speed,Elite,4,
Chambers of Xeric: Challenge Mode,Chambers of Xeric: CM Master,Complete the Chambers of Xeric: Challenge Mode 10 times.,Kill Count,Master,5,
Chambers of Xeric: Challenge Mode,Immortal Raider,Complete a Chambers of Xeric Challenge mode (Solo) raid without dying.,Perfection,Master,5,
Chambers of Xeric: Challenge Mode,Immortal Raid Team,Complete a Chambers of Xeric: Challenge mode raid without anyone dying.,Perfection,Master,5,
Chambers of Xeric: Challenge Mode,Chambers of Xeric: CM (5-Scale) Speed-Chaser,Complete a Chambers of Xeric: Challenge Mode (5-scale) in less than 30 minutes.,Speed,Master,5,
Chambers of Xeric: Challenge Mode,Chambers of Xeric: CM (Solo) Speed-Chaser,Complete a Chambers of Xeric: Challenge Mode (Solo) in less than 45 minutes.,Speed,Master,5,
Chambers of Xeric: Challenge Mode,Chambers of Xeric: CM (Trio) Speed-Chaser,Complete a Chambers of Xeric: Challenge Mode (Trio) in less than 35 minutes.,Speed,Master,5,
Chambers of Xeric: Challenge Mode,Chambers of Xeric: CM (5-Scale) Speed-Runner,Complete a Chambers of Xeric: Challenge Mode (5-scale) in less than 25 minutes.,Speed,Grandmaster,6,
Chambers of Xeric: Challenge Mode,Chambers of Xeric: CM (Trio) Speed-Runner,Complete a Chambers of Xeric: Challenge Mode (Trio) in less than 27 minutes.,Speed,Grandmaster,6,
Chambers of Xeric: Challenge Mode,Chambers of Xeric: CM (Solo) Speed-Runner,Complete a Chambers of Xeric: Challenge Mode (Solo) in less than 38 minutes and 30 seconds.,Speed,Grandmaster,6,
Chambers of Xeric: Challenge Mode,Chambers of Xeric: CM Grandmaster,Complete the Chambers of Xeric: Challenge Mode 25 times.,Kill Count,Grandmaster,6,
Chaos Elemental,The Flincher,Kill the Chaos Elemental without taking any damage from its attacks.,Perfection,Hard,3,Y
Chaos Elemental,Hoarder,Kill the Chaos Elemental without it unequipping any of your items.,Mechanical,Hard,3,Y
Chaos Elemental,Chaos Elemental Adept,Kill the Chaos Elemental 10 times.,Kill Count,Hard,3,Y
Chaos Elemental,Chaos Elemental Veteran,Kill the Chaos Elemental 25 times.,Kill Count,Elite,4,Y
Chaos Fanatic,"Sorry, What Was That?",Kill the Chaos Fanatic without anyone being hit by his explosion attack.,Perfection,Medium,2,Y
Chaos Fanatic,Chaos Fanatic Champion,Kill the Chaos Fanatic 10 times.,Kill Count,Medium,2,Y
Chaos Fanatic,Praying to the Gods,Kill the Chaos Fanatic 10 times without drinking any potion which restores prayer or leaving the Wilderness.,Restriction,Hard,3,Y
Chaos Fanatic,Chaos Fanatic Adept,Kill the Chaos Fanatic 25 times.,Kill Count,Hard,3,Y
Commander Zilyana,Commander Zilyana Adept,Kill Commander Zilyana 50 times.,Kill Count,Hard,3,Y
Commander Zilyana,Commander Showdown,Finish off Commander Zilyana while all of her bodyguards are dead.,Mechanical,Hard,3,Y
Commander Zilyana,Reminisce,Kill Commander Zilyana in a private instance with melee only.,Restriction,Elite,4,Y
Commander Zilyana,Commander Zilyana Veteran,Kill Commander Zilyana 100 times.,Kill Count,Elite,4,
Commander Zilyana,Moving Collateral,Kill Commander Zilyana in a private instance without attacking her directly.,Restriction,Master,5,Y
Commander Zilyana,Peach Conjurer,Kill Commander Zilyana 50 times in a privately rented instance without leaving the room.,Stamina,Grandmaster,6,
Commander Zilyana,Animal Whisperer,Kill Commander Zilyana in a private instance without taking any damage from the boss or bodyguards.,Perfection,Grandmaster,6,
Corporeal Beast,Finding the Weak Spot,Finish off the Corporeal Beast with a Crystal Halberd special attack.,Restriction,Elite,4,
Corporeal Beast,Corporeal Beast Veteran,Kill the Corporeal Beast 25 times.,Kill Count,Elite,4,
Corporeal Beast,Hot on Your Feet,Kill the Corporeal Beast without anyone killing the dark core or taking damage from the dark core.,Perfection,Elite,4,
Corporeal Beast,Chicken Killer,Kill the Corporeal Beast solo.,Restriction,Elite,4,
Corporeal Beast,Corporeal Beast Master,Kill the Corporeal Beast 50 times.,Kill Count,Master,5,
Corrupted Hunllef,Corrupted Gauntlet Veteran,Complete the Corrupted Gauntlet 5 times.,Kill Count,Elite,4,Y
Corrupted Hunllef,"3, 2, 1 - Mage",Kill the Corrupted Hunllef without taking damage off prayer.,Perfection,Elite,4,Y
Corrupted Hunllef,Defence Doesn't Matter II,Kill the Corrupted Hunllef without making any armour within the Corrupted Gauntlet.,Restriction,Master,5,
Corrupted Hunllef,Perfect Corrupted Hunllef,"Kill the Corrupted Hunllef without taking damage from: Tornadoes, Damaging Floor or Stomp Attacks. Also, do not take damage off prayer and do not attack the Corrupted Hunllef with the wrong weapon.",Perfection,Master,5,
Corrupted Hunllef,Corrupted Gauntlet Speed-Chaser,Complete a Corrupted Gauntlet in less than 7 minutes and 30 seconds.,Speed,Master,5,
Corrupted Hunllef,Corrupted Gauntlet Master,Complete the Corrupted Gauntlet 10 times.,Kill Count,Master,5,Y
Corrupted Hunllef,Corrupted Warrior,Kill the Corrupted Hunllef with a full set of perfected corrupted armour equipped.,Restriction,Master,5,
Corrupted Hunllef,Wolf Puncher II,Kill the Corrupted Hunllef without making more than one attuned weapon.,Restriction,Grandmaster,6,
Corrupted Hunllef,Egniol Diet II,Kill the Corrupted Hunllef without making an egniol potion within the Corrupted Gauntlet.,Restriction,Grandmaster,6,
Corrupted Hunllef,Corrupted Gauntlet Grandmaster,Complete the Corrupted Gauntlet 50 times.,Kill Count,Grandmaster,6,
Corrupted Hunllef,Corrupted Gauntlet Speed-Runner,Complete a Corrupted Gauntlet in less than 6 minutes and 30 seconds.,Speed,Grandmaster,6,
Crazy Archaeologist,Mage of the Ruins,Kill the Crazy Archaeologist with only magical attacks.,Mechanical,Medium,2,Y
Crazy Archaeologist,I'd Rather Not Learn,"Kill the Crazy Archaeologist without anyone being hit by his ""Rain of Knowledge"" attack.",Perfection,Medium,2,Y
Crazy Archaeologist,Crazy Archaeologist Champion,Kill the Crazy Archaeologist 10 times.,Kill Count,Medium,2,Y
Crazy Archaeologist,Crazy Archaeologist Adept,Kill the Crazy Archaeologist 25 times.,Kill Count,Hard,3,Y
Crystalline Hunllef,Gauntlet Veteran,Complete the Gauntlet 5 times.,Kill Count,Elite,4,Y
Crystalline Hunllef,Wolf Puncher,Kill the Crystalline Hunllef without making more than one attuned weapon.,Restriction,Elite,4,Y
Crystalline Hunllef,Egniol Diet,Kill the Crystalline Hunllef without making an egniol potion within the Gauntlet.,Restriction,Elite,4,Y
Crystalline Hunllef,"3, 2, 1 - Range",Kill the Crystalline Hunllef without taking damage off prayer.,Perfection,Elite,4,Y
Crystalline Hunllef,Crystalline Warrior,Kill the Crystalline Hunllef with a full set of perfected armour equipped.,Restriction,Elite,4,Y
Crystalline Hunllef,Defence Doesn't Matter,Kill the Crystalline Hunllef without making any armour within the Gauntlet.,Restriction,Master,5,Y
Crystalline Hunllef,Perfect Crystalline Hunllef,"Kill the Crystalline Hunllef without taking damage from: Tornadoes, Damaging Floor or Stomp Attacks. Also, do not take damage off prayer and do not attack the Crystalline Hunllef with the wrong weapon.",Perfection,Master,5,
Crystalline Hunllef,Gauntlet Speed-Chaser,Complete the Gauntlet in less than 5 minutes.,Speed,Master,5,
Crystalline Hunllef,Gauntlet Master,Complete the Gauntlet 20 times.,Kill Count,Master,5,Y
Crystalline Hunllef,Gauntlet Speed-Runner,Complete the Gauntlet in less than 4 minutes.,Speed,Grandmaster,6,
Dagannoth Prime,Dagannoth Prime Champion,Kill Dagannoth Prime 10 times.,Kill Count,Medium,2,Y
Dagannoth Prime,Dagannoth Prime Adept,Kill Dagannoth Prime 25 times.,Kill Count,Hard,3,Y
Dagannoth Prime,Death to the Seer King,Kill Dagannoth Prime whilst under attack by Dagannoth Supreme and Dagannoth Rex.,Mechanical,Elite,4,Y
Dagannoth Prime,From One King to Another,"Kill Prime using a Rune Thrownaxe special attack, bounced off Dagannoth Rex.",Mechanical,Elite,4,
Dagannoth Rex,A Frozen King,Kill Dagannoth Rex whilst he is immobilized.,Mechanical,Medium,2,Y
Dagannoth Rex,Dagannoth Rex Champion,Kill Dagannoth Rex 10 times.,Kill Count,Medium,2,Y
Dagannoth Rex,Dagannoth Rex Adept,Kill Dagannoth Rex 25 times.,Kill Count,Hard,3,Y
Dagannoth Rex,Death to the Warrior King,Kill Dagannoth Rex whilst under attack by Dagannoth Supreme and Dagannoth Prime.,Mechanical,Elite,4,Y
Dagannoth Rex,Toppling the Diarchy,Kill Dagannoth Rex and one other Dagannoth king at the exact same time.,Mechanical,Elite,4,
Dagannoth Supreme,Dagannoth Supreme Champion,Kill Dagannoth Supreme 10 times.,Kill Count,Medium,2,Y
Dagannoth Supreme,Dagannoth Supreme Adept,Kill Dagannoth Supreme 25 times.,Kill Count,Hard,3,Y
Dagannoth Supreme,Rapid Succession,Kill all three Dagannoth Kings within 9 seconds of the first one.,Mechanical,Elite,4,
Dagannoth Supreme,Death to the Archer King,Kill Dagannoth Supreme whilst under attack by Dagannoth Prime and Dagannoth Rex.,Mechanical,Elite,4,Y
Demonic Gorilla,If Gorillas Could Fly,Kill a Demonic Gorilla.,Kill Count,Elite,4,Y
Demonic Gorilla,Hitting Them Where It Hurts,Finish off a Demonic Gorilla with a demonbane weapon.,Restriction,Elite,4,Y
Deranged Archaeologist,Deranged Archaeologist Novice,Kill the Deranged Archaeologist 10 times.,Kill Count,Easy,1,Y
Deranged Archaeologist,I'd Rather Be Illiterate,"Kill the Deranged Archaeologist without anyone being hit by his ""Learn to Read"" attack.",Perfection,Medium,2,Y
Deranged Archaeologist,Mage of the Swamp,Kill the Deranged Archaeologist with only magical attacks.,Mechanical,Medium,2,Y
Deranged Archaeologist,Deranged Archaeologist Champion,Kill the Deranged Archaeologist 25 times.,Kill Count,Medium,2,Y
Duke Sucellus,Duke Sucellus Speed-Trialist,Kill Duke Sucellus in less than 1:45 minutes without a slayer task.,Speed,Elite,4,
Duke Sucellus,Duke Sucellus Adept,Kill Duke Sucellus once.,Kill Count,Elite,4,Y
Duke Sucellus,Duke Sucellus Master,Kill Duke Sucellus 50 times.,Kill Count,Master,5,
Duke Sucellus,Cold Feet,"Kill Duke Sucellus without taking any avoidable damage, whilst also never running.",Restriction,Master,5,
Duke Sucellus,Perfect Duke Sucellus,Kill Duke Sucellus without taking any avoidable damage 5 times without leaving.,Perfection,Master,5,
Duke Sucellus,Duke Sucellus Speed-Chaser,Kill Duke Sucellus in less than 1:35 minutes without a slayer task.,Speed,Master,5,
Duke Sucellus,Mirror Image,Kill Duke Sucellus whilst only attacking the boss on the same tick Duke attacks you.,Restriction,Grandmaster,6,
Duke Sucellus,Duke Sucellus Speed-Runner,Kill Duke Sucellus in less than 1:25 minutes without a slayer task.,Speed,Grandmaster,6,
Duke Sucellus,Duke Sucellus Sleeper,Kill Awakened Duke Sucellus.,Kill Count,Grandmaster,6,
Fire Giant,The Walking Volcano,Kill a Fire Giant.,Kill Count,Easy,1,Y
Fortis Colosseum,I was here first!,Kill a Jaguar Warrior using a Claw-type weapon special attack.,Mechanical,Elite,4,
Fortis Colosseum,Furball,Complete Wave 4 without taking avoidable damage from a Manticore.,Perfection,Elite,4,
Fortis Colosseum,Denied,Complete Wave 7 without the Minotaur ever healing other enemies.,Mechanical,Elite,4,
Fortis Colosseum,Sportsmanship,Defeat Sol Heredit once.,Kill Count,Master,5,
Fortis Colosseum,One-off,"Complete Wave 11 with either 'Red Flag', 'Dynamic Duo', or 'Doom II' active.",Mechanical,Master,5,
Fortis Colosseum,Showboating,"Defeat Sol Heredit after using Fortis Salute to the north, east, south and west of the arena while he is below 10% hitpoints.",Mechanical,Master,5,
Fortis Colosseum,Colosseum Speed-Chaser,Complete the Colosseum with a total time of 28:00 or less.,Speed,Master,5,
Fortis Colosseum,I Brought Mine Too,"Defeat Sol Heredit using only a Spear, Hasta or Halberd.",Restriction,Master,5,
Fortis Colosseum,Reinforcements,"Defeat Sol Heredit with ""Bees II"", ""Quartet"" and ""Solarflare II"" modifiers active.",Mechanical,Grandmaster,6,
Fortis Colosseum,Perfect Footwork,"Defeat Sol Heredit without taking any damage from his Spear, Shield, Grapple or Triple Attack.",Perfection,Grandmaster,6,
Fortis Colosseum,Colosseum Grand Champion,Defeat Sol Heredit 10 times.,Kill Count,Grandmaster,6,
Fortis Colosseum,Colosseum Speed-Runner,Complete the Colosseum with a total time of 24:00 or less.,Speed,Grandmaster,6,
Fortis Colosseum,Slow Dancing in the Sand,Defeat Sol Heredit without running during the fight with him.,Restriction,Grandmaster,6,
Fragment of Seren,Fragment of Seren Speed-Trialist,Kill The Fragment of Seren in less than 4 minutes.,Speed,Elite,4,
Galvek,Galvek Speed-Trialist,Kill Galvek in less than 3 minutes.,Speed,Elite,4,
Gargoyle,A Smashing Time,Kill a Gargoyle.,Kill Count,Medium,2,Y
General Graardor,General Showdown,Finish off General Graardor whilst all of his bodyguards are dead.,Mechanical,Hard,3,
General Graardor,General Graardor Adept,Kill General Graardor 50 times.,Kill Count,Hard,3,
General Graardor,Ourg Freezer,Kill General Graardor whilst he is immobilized.,Mechanical,Hard,3,
General Graardor,Ourg Freezer II,Kill General Graardor without him attacking any players.,Mechanical,Elite,4,
